year,state,county_name,Biden,Trump,mode
2020,LOUISIANA,LAFAYETTE,39685,72519,TOTAL
2020,LOUISIANA,LAFOURCHE,8672,36024,TOTAL
2020,LOUISIANA,LA SALLE,638,6378,TOTAL
2020,LOUISIANA,LINCOLN,7559,11311,TOTAL
2020,LOUISIANA,LIVINGSTON,9249,54877,TOTAL
2020,LOUISIANA,MADISON,2654,1930,TOTAL
2020,LOUISIANA,MOREHOUSE,4946,6510,TOTAL
2020,LOUISIANA,NATCHITOCHES,6896,9358,TOTAL
2020,LOUISIANA,ORLEANS,147854,26664,TOTAL
2020,LOUISIANA,OUACHITA,25913,42255,TOTAL
2020,LOUISIANA,PLAQUEMINES,3414,7412,TOTAL
2020,LOUISIANA,POINTE COUPEE,4683,7503,TOTAL
2020,LOUISIANA,RAPIDES,19475,38347,TOTAL
2020,LOUISIANA,RED RIVER,1644,2413,TOTAL
2020,LOUISIANA,RICHLAND,3225,6607,TOTAL
2020,LOUISIANA,SABINE,1731,8776,TOTAL
2020,LOUISIANA,ST. BERNARD,6151,11179,TOTAL
2020,LOUISIANA,ST. CHARLES,9800,18233,TOTAL
2020,LOUISIANA,ST. HELENA,3346,2714,TOTAL
2020,LOUISIANA,ST. JAMES,6510,5954,TOTAL
2020,LOUISIANA,ST. JOHN THE BAPTIST,13582,7538,TOTAL
2020,LOUISIANA,ST. LANDRY,17372,23171,TOTAL
2020,LOUISIANA,ST. MARTIN,8439,18203,TOTAL
2020,LOUISIANA,ST. MARY,8055,14811,TOTAL
2020,LOUISIANA,ST. TAMMANY,37746,99666,TOTAL
2020,LOUISIANA,TANGIPAHOA,18887,37806,TOTAL
2020,LOUISIANA,TENSAS,1329,1197,TOTAL
2020,LOUISIANA,TERREBONNE,11198,34339,TOTAL
2020,LOUISIANA,UNION,2654,8407,TOTAL
2020,LOUISIANA,VERMILION,5009,21930,TOTAL
2020,LOUISIANA,VERNON,2898,14107,TOTAL
2020,LOUISIANA,WASHINGTON,5970,13307,TOTAL
2020,LOUISIANA,WEBSTER,6172,11830,TOTAL
2020,LOUISIANA,WEST BATON ROUGE,6200,7684,TOTAL
2020,LOUISIANA,WEST CARROLL,710,4317,TOTAL
2020,LOUISIANA,WEST FELICIANA,2298,3863,TOTAL
2020,LOUISIANA,WINN,1543,4619,TOTAL
2020,NEW MEXICO,BERNALILLO,193757,116135,TOTAL
2020,NEW MEXICO,CATRON,595,1698,TOTAL
2020,NEW MEXICO,CHAVES,6381,15656,TOTAL
2020,NEW MEXICO,CIBOLA,4745,3975,TOTAL
2020,NEW MEXICO,COLFAX,2611,3271,TOTAL
2020,NEW MEXICO,CURRY,4307,10444,TOTAL
2020,NEW MEXICO,DE BACA,231,656,TOTAL
2020,NEW MEXICO,DONA ANA,47957,32802,TOTAL
2020,NEW MEXICO,EDDY,5424,17454,TOTAL
2020,NEW MEXICO,GRANT,7590,6553,TOTAL
2020,NEW MEXICO,GUADALUPE,1234,917,TOTAL
2020,NEW MEXICO,HARDING,179,319,TOTAL
2020,NEW MEXICO,HIDALGO,823,1120,TOTAL
2020,NEW MEXICO,LEA,4061,16531,TOTAL
2020,NEW MEXICO,LINCOLN,3194,6942,TOTAL
2020,NEW MEXICO,LOS ALAMOS,7554,4278,TOTAL
2020,NEW MEXICO,LUNA,3563,4408,TOTAL
2020,NEW MEXICO,MCKINLEY,18029,7801,TOTAL
2020,NEW MEXICO,MORA,1745,903,TOTAL
2020,NEW MEXICO,OTERO,8485,14521,TOTAL
2020,NEW MEXICO,QUAY,1170,2634,TOTAL
2020,NEW MEXICO,RIO ARRIBA,10990,5408,TOTAL
2020,NEW MEXICO,ROOSEVELT,1802,4634,TOTAL
2020,NEW MEXICO,SANDOVAL,40588,34174,TOTAL
2020,NEW MEXICO,SAN JUAN,18083,32874,TOTAL
2020,NEW MEXICO,SAN MIGUEL,7888,3421,TOTAL
2020,NEW MEXICO,SANTA FE,62530,18329,TOTAL
2020,NEW MEXICO,SIERRA,2265,3542,TOTAL
2020,NEW MEXICO,SOCORRO,3722,3255,TOTAL
2020,NEW MEXICO,TAOS,13121,3715,TOTAL
2020,NEW MEXICO,TORRANCE,2344,4772,TOTAL
2020,NEW MEXICO,UNION,383,1388,TOTAL
2020,NEW MEXICO,VALENCIA,14263,17364,TOTAL
2020,TEXAS,ANDERSON,3955,15110,TOTAL
2020,TEXAS,ANDREWS,850,4943,TOTAL
2020,TEXAS,ANGELINA,9143,25076,TOTAL
2020,TEXAS,ARANSAS,2916,9239,TOTAL
2020,TEXAS,ARCHER,446,4300,TOTAL
2020,TEXAS,ARMSTRONG,75,1035,TOTAL
2020,TEXAS,ATASCOSA,5876,12039,TOTAL
2020,TEXAS,AUSTIN,2951,11447,TOTAL
2020,TEXAS,BAILEY,409,1434,TOTAL
2020,TEXAS,BANDERA,2505,10057,TOTAL
2020,TEXAS,BASTROP,15474,20516,TOTAL
2020,TEXAS,BAYLOR,183,1494,TOTAL
2020,TEXAS,BEE,3288,6006,TOTAL
2020,TEXAS,BELL,57014,67893,TOTAL
2020,TEXAS,BEXAR,448452,308618,TOTAL
2020,TEXAS,BLANCO,1911,5443,TOTAL
2020,TEXAS,BORDEN,16,397,TOTAL
2020,TEXAS,BOSQUE,1561,7469,TOTAL
2020,TEXAS,BOWIE,10747,27116,TOTAL
2020,TEXAS,BRAZORIA,62228,90433,TOTAL
2020,TEXAS,BRAZOS,35349,47530,TOTAL
2020,TEXAS,BREWSTER,2258,2461,TOTAL
2020,TEXAS,BRISCOE,78,639,TOTAL
2020,TEXAS,BROOKS,1470,998,TOTAL
2020,TEXAS,BROWN,2107,13698,TOTAL
2020,TEXAS,BURLESON,1788,6743,TOTAL
2020,TEXAS,BURNET,5639,18767,TOTAL
2020,TEXAS,CALDWELL,6672,8031,TOTAL
2020,TEXAS,CALHOUN,2148,5641,TOTAL
2020,TEXAS,CALLAHAN,734,6012,TOTAL
2020,TEXAS,CAMERON,64063,49032,TOTAL
2020,TEXAS,CAMP,1394,3626,TOTAL
2020,TEXAS,CARSON,297,2779,TOTAL
